ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Add columns here,Reviewer,Review
14-10,31/03/23 00:30:59,https://twitter.com/rsurtida/status/1513775674460303361,14,"Dela Calzada, Zairra Mille","RBRD

",Robredo's personal life,"aika robredo, sex video, stunt, victim",@rsurtida,"Roman Surtida
","http://rbsurtida.wordpress.com",Identified,01/11,649,4542,Metro Manila,"Aika Robredo ""sex video"": The latest Yellowtard stunt to make them look like victims all for political gain
https://www.getrealphilippines.com/2022/04/aika-robredo-sex-video-the-latest-yellowtard-stunt-to-make-them-look-like-victims-all-for-political-gain/",,"Text, URL",12/04/22 15:07,,Emotional,45,2,12,,,,"The video scandal going around the internet claimed to be of Aika Robredo is fake. Aika Robredo has asked for assistance from the National Bureau of Investigation over this.

Source: https://www.rappler.com/nation/elections/aika-robredo-seeks-nbi-assistance-fake-video-scandal-issue/",,,,
14-11,31/03/23 00:33:36,https://twitter.com/dozZ3h_Vbril/status/1351534330401591302,14,"Peroz, JC Mae","RBRD

",Robredo's personal life,"leni, npa, joma, asawa","@dozZ3h_Vbril","t ❤_💚 k! rO ツ","❤💚✌👊",Anonymous,09/15,2150,3125,No location,"@SenLeiladeLima 

baka akala mo di alam ng tao na protektado ng NPA yung Druglord na Bayaw ni VP Leni sa Bicol tapos kamag Anak mo ang asawa ni Joma Sison.Sige buhayin mong lahat yan.Matandang mahilig sa Saging! Drug Queen.. pweh!",,Text,19/01/21 10:17,,Emotional,1,0,0,,,,"There are no news articles, statements, or official cases that prove that Leni Robredo is linked to drugs or drug operations.

Source:

https://www.tsek.ph/leni-robredo-protektor-daw-ng-mga-drug-lord/
",No location indicated,,,
14-12,31/03/23 00:37:56,https://twitter.com/dearugreisback/status/1517307476189728769,14,"Peroz, JC Mae","RBRD

",Robredo's personal life,"leni, bayaw","@dearugreisback","Dear Ugre",FAN ACCOUNT #SarahGeronimo #EugeneDomingo #Ugre #Uge,Anonymous,08/20,361,595,No location,"Akala nila fake news ito.

Si butch Robredo ay bayaw ni Leni Robredo at isang pinakamalaking Druglord sa Naga City.
Noong manalo si Duterte sa Pagkapangulo tumungo agad ito sa U.S dahil sa takot.
Ngayon gumagalaw ang pera ng mga druglords na ito para mapatalsik si Duterte...
https://pbs.twimg.com/media/FQ6PGq4UUAAa42m?format=jpg&name=small
https://pbs.twimg.com/media/FQ6PGzbVEAAHr8l?format=jpg&name=small
https://pbs.twimg.com/media/FQ6PG9QVIAAnInI?format=jpg&name=small
",,"Text, picture",22/04/22 09:01,,Rational,192,4,102,,,,"

There are no news articles, statements, or official cases that prove that Leni and Butch Robredo are linked to drugs or drug operations.

Source:

https://www.facebook.com/FactCheckPhils/photos/a.1874873655938230/2779970218761898/?type=3
https://www.tsek.ph/butch-robredo-sangkot-sa-ilegal-na-droga/

https://www.tsek.ph/leni-robredo-protektor-daw-ng-mga-drug-lord/


",No location indicated,,,
14-13,31/03/23 00:39:08,https://twitter.com/8Yuta88laksa/status/1315563125320544256,14,"Peroz, JC Mae","RBRD

",Robredo's personal life,"leni, bayaw",@8Yuta88laksa,8Yuta88laksa,"You will face many defeats in life, but never let yourself be defeated..",Anonymous,09/20,349,457,No location,"isa sa Financer ni Lugaw Leni bayaw nya na Drug Lord..🤓",,Reply (comment),10/12/20 16:01,,Rational,8,2,1,,,,"

There are no news articles, statements, or official cases that prove that Butch Robredo is linked to drugs or drug operations.

Source:

https://www.facebook.com/FactCheckPhils/photos/a.1874873655938230/2779970218761898/?type=3
https://www.tsek.ph/butch-robredo-sangkot-sa-ilegal-na-droga/




",No location indicated,,,
14-14,31/03/23 00:40:26,https://twitter.com/RhiannaKiesh/status/1581172378427568129,14,"Peroz, JC Mae","RBRD

",Robredo's personal life,"leni, bayaw",@RhiannaKiesh,Rhianna Kiesh,"Live. Laugh. Love
",Anonymous,11/21,347,281,No location,"When Leni was VP, drug lord din yung bayaw dba, did you call her out to resign. Did you call out Jesse R. when he was DILG secretary because his brother is a drug lord? Yung sa Lamitan, yung mayor is a drug lord, tinangal ba siya sa pwesto?",,Reply (comment),15/10/22 14:37,,Emotional,0,0,1,,,,"

There are no news articles, statements, or official cases that prove that Leni and Butch Robredo are linked to drugs or drug operations.


Source:

https://www.facebook.com/FactCheckPhils/photos/a.1874873655938230/2779970218761898/?type=3
https://www.tsek.ph/butch-robredo-sangkot-sa-ilegal-na-droga/

https://www.tsek.ph/leni-robredo-protektor-daw-ng-mga-drug-lord/


",No location indicated,,,
14-15,31/03/23 00:48:19,https://twitter.com/JaredZaneXenos/status/1013343592734081025,14,"Peroz, JC Mae","RBRD

",Robredo's personal life,leni boyfriend bolet,"@JaredZaneXenos
","Jared Zane Xenos","Engineer, builder, consultant, world traveler, photographer, guitarist, artist, patriot and defender of law abiding Filipinos",Identified,12/16,125,85,No location,"Some of OVP cash expense cannot be liquidated because it goes to Leni Robredo's boyfriend Bolet Banal. How can she explained Bolet's role in accompanying her in her trips abroad & local",,Reply (comment),07/01/18 16:48,,Rational,3,0,1,,,,"There is no romantic link between Leni Robredo and Bolet Banal.

Source: https://www.rappler.com/newsbreak/fact-check/robredo-banal-romantically-linked/
",,,,
14-16,31/03/23 08:05:22,https://twitter.com/castlesfree1/status/1512971481625419779?s=21,14,"Dela Calzada, Zairra Mille","RBRD

",Robredo's personal life,"leni, kabit, banal",@Castlesfree1,Castlesfree,No bio,Anonymous,03/18,164,8,No location,Leni is not a saint. Kabit cya ni Banal!,,Reply (Comment),04/10/22 09:51,,Emotional,0,0,0,,,,"There is no romantic link between Leni Robredo and Bolet Banal.

Source: https://www.rappler.com/newsbreak/fact-check/robredo-banal-romantically-linked/",No bio and location,,,
14-17,31/03/23 08:06:41,https://twitter.com/marcossravanes/status/1447921351738544130,14,"Dela Calzada, Zairra Mille","RBRD

",Robredo's personal life,"leni robredo, butch robredo, brother-in-law, drug lord",@marcossravanes,Makoy,Weh,Identified,07/21,201,41,No location,"Butch Robredo, brother of Jessie Robredo, is a Drug Lord wanted by PDEA and one of the Narcos on the drugs watchlists.

Guess what? He's the brother-in-law of our FAKE VP Leni Robredo. Now, who's really a Drug Lord and a Protector?",,Reply (Comment),10/12/21 21:45,,Emotional,0,0,0,,,,"There are no news articles, statements, or official cases that prove that Butch Robredo is linked to drugs.

Source: https://www.facebook.com/FactCheckPhils/photos/a.1874873655938230/2779970218761898/",No location indicated,,,
14-18,31/03/23 08:07:49,https://twitter.com/avicor1/status/1017198548725596160?s=21,14,"Dela Calzada, Zairra Mille","RBRD

",Robredo's personal life,"leni, affair, bolet",@Angz00251450,Angz,altercoet,Anonymous,09/19,307,32,No location,"Hoy wokes and elite, you’re calling out Paolo Contis, Yen, Aljur, AJ Raval for being unfaithful and magnanakaw ng relasyon; but stay silent on Leni and Bolet? Ipokrita! #LetLeniLead #Halalan2022",,Text ,10/11/21 11:29,,Emotional,3,0,0,,,,"There is no romantic link between Leni Robredo and Bolet Banal.

Source: https://www.rappler.com/newsbreak/fact-check/robredo-banal-romantically-linked/",No location indicated,,,
14-19,31/03/23 08:08:39,https://twitter.com/tsuperdadii/status/1339648343723503616?s=21,14,"Dela Calzada, Zairra Mille","RBRD

",Robredo's personal life,"leni, affair ",@tsuperdadii,Chief Dee - DDS👊👊 Loyalist❤️💚 you hate the most,"🇺🇸Navy Chief (Ret) MBA, MHRM, University Lecturer, Corporate Trainer🇵🇭, poetic, sarcastic twits, DLSU, Univ of Maryland, Magna Cum Laude, Caveat Lector",Anonymous,11/20,820,1120,Philippines,"‼️Saturday's Headlines‼️
✅Joma admits Elago is daughter w fling w/Tiamzon 
& Jover is daughter with Bensouda
✅ Leni admits affair but denies Presidential ambitions 
✅ Baraan and Bautista hiding in Netherlands 
✅ Jim, Kaloi & Sonny caught in menage a troie 
✅ PLDT 30mbs now",,"Text, Image",18/12/20 03:07,,Rational,4,0,4,1,,,"There is no romantic link between Leni Robredo and Bolet Banal.

Source: https://www.rappler.com/newsbreak/fact-check/robredo-banal-romantically-linked/",,,,
14-20,31/03/23 08:09:50,https://twitter.com/mackygulo/status/869886316498083840?s=21,14,"Dela Calzada, Zairra Mille","RBRD

",Robredo's personal life,"leni, affair, bolet",@mackygulo,Macky gulo,http://t.co/BcSwf9JNXM,Anonymous,04/14,51,15,No location,"Clinton-Lewisky affair is same as Leni-Bolet and Laila De Lima-Ronnie Dayan, it's immoral. Du30 rape remark is only a joke and non existent",,Reply (Comment),31/05/17 20:00,,Rational,13,1,4,,,,"There is no romantic link between Leni Robredo and Bolet Banal.

Source: https://www.rappler.com/newsbreak/fact-check/robredo-banal-romantically-linked/",No location indicated,,,
14-21,31/03/23 08:10:29,https://twitter.com/maxell_lander/status/998320183126114305?s=21,14,"Dela Calzada, Zairra Mille","RBRD

",Robredo's personal life,"leni, affair, married man, bolet",@maxell_lander,Maxell,"Dubito, ergo cogito, ergo sum (I doubt, there4 I think, there4 I am)",Anonymous,02/12,4875,3646,No location,"Leni is obviously having an illicit love affair with a married man - Congressman Bolet, but doesn't want to confirm nor deny it",,Reply (Quote tweet),21/05/18 05:50,,Rational,5,0,2,,,,"There is no romantic link between Leni Robredo and Bolet Banal.

Source: https://www.rappler.com/newsbreak/fact-check/robredo-banal-romantically-linked/",No location indicated,,,
14-22,31/03/23 08:11:47,https://twitter.com/avicor1/status/1017198548725596160?s=21,14,"Dela Calzada, Zairra Mille","RBRD

",Robredo's personal life,"leni, affair, bolet, banal",@avicor1,avicor,No bio,Anonymous,01/16,415,306,Singapore,Wee resibo pls sino pinatulan ni mocha?  Hmmm leni's illicit affair with bolet banal is all over the phils.,,Reply (Comment),07/12/18 08:06,,Rational,2,0,1,,,,"There is no romantic link between Leni Robredo and Bolet Banal.

Source: https://www.rappler.com/newsbreak/fact-check/robredo-banal-romantically-linked/","No bio
Location retrieved from tweet",,,
14-23,31/03/23 08:12:57,https://twitter.com/mdsonwardph22/status/1435497763320565762?s=21,14,"Dela Calzada, Zairra Mille","RBRD

",Robredo's personal life,"leni, bolet, drugs",@MDSOnwardPH22,"❤💞💞🇵🇭🇵🇭🙏🙏MARCOS-DUTERTE👊🏽👊🏽👊🏽
","When helping the poor,leave the camera at home!",Anonymous,05/18,7979,12.4K,Manila,"Ahemmm DRUGLORDS caught on September 5, 2021 in Brgy. Tabuco, Naga City, hiding under the skirt of feeling drug czar leni bolet robredo????
",,Text,09/08/21 14:58,,Rational,55,1,21,4,,,"There is no romantic link between Leni Robredo and Bolet Banal. Leni Robredo was appointed as co-chair of the Inter-Agency Committee on Anti-Illegal Drugs (ICAD).

Sources: 
https://www.rappler.com/newsbreak/fact-check/robredo-banal-romantically-linked/

https://www.rappler.com/nation/244192-duterte-names-robredo-co-chair-inter-agency-anti-drugs-body/

https://www.rappler.com/plus-membership-program/exclusive-content/robredo-18-days-as-drug-czar/",,,,
14-24,31/03/23 14:02:15,https://twitter.com/WinwinEklabu/status/1517718440106401792,14,"Peroz, JC Mae","RBRD

",Robredo's personal life,robredo npa asawa,@WinwinEklabu,Mr.Winwin_Situation,"I am proud to be part of ""The 31 Million Strong""",Identified,12/15,6456,7123,Metro Manila,"Hala guys si Leni Robredo may asawa pala sa una taga Cebu at NPA daw. OMG! Can someone tell me more about this?

Attached image: https://pbs.twimg.com/media/FRAEln4aAAEVnep?format=jpg&name=large",,"Text, picture",23/04/22 12:14,,Rational,142,38,64,,,,"Leni Robredo's first and only husband is confirmed to be Jesse Robredo

Source:

https://www.rappler.com/newsbreak/fact-check/robredo-had-first-husband-who-was-member-new-peoples-army/",,,,
14-25,31/03/23 14:04:31,https://twitter.com/67amiable/status/1500879405307940870,14,"Peroz, JC Mae","RBRD

",Robredo's personal life,robredo npa asawa,@67amiable,Ahyin,No bio,Anonymous,12/10,61,43,"National Capital Region, Republic of the Philippines","Si leni robredo napaka imoral, nakipag relasyon sa may asawa, in short kabit, sinungaling at magnanakaw, druglord protector at npa terorista suporter.",,Text,03/08/22 01:01,,Emotional,1,0,0,,,,"There is no evidence that Leni Robredo is involved in drug production and the CPP-NPA.

Sources:

https://www.philstar.com/headlines/2018/05/21/1817500/robredo-slams-columnist-spreading-rumors?fbclid=IwAR0j-9iFi56mHJb8TMvkpdWjM98_nt2JSzaReVIsi0C5_py2ZliwTE92MrE

https://www.cnnphilippines.com/news/2022/3/14/Robredo-CPP-NPA-communist-fake-news.html

https://www.tsek.ph/leni-robredo-protektor-daw-ng-mga-drug-lord/",No bio,,,
14-26,31/03/23 14:11:46,https://twitter.com/lindellrobles/status/727003947957800961,14,"Peroz, JC Mae","RBRD

",Robredo's personal life,leni pinatay jesse,"@lindellrobles","Lindell Robles
","a mind in a mind set free
",Identified,09/15,230,30,"Davao City, Davao Region","Sabi ng friend kong taga-medya, alam ni Leni na pinatay si Jesse, tapos tumakbo pa din under LP",,Text,05/02/16 13:17,,Rational,0,0,0,,,,"Jesse Robredo's death was not due to sabotage.

Source: https://www.rappler.com/newsbreak/fact-check/jesse-robredo-death-sabotage/",,,,
14-27,31/03/23 14:13:17,https://twitter.com/JanineTomas4/status/1565349559156346880,14,"Peroz, JC Mae","RBRD

",Robredo's personal life,leni pinatay asawa,"@JanineTomas4
","Janine Tomas",the truth,Identified,08/22,1,0,No location,"Ginagaya siguro ni leni si cory.  Pinatay asawa tapos kakandidato.  Gagamitin pa pagkamatay ng asawa nila para manalo.  Mag majong nalang kayo mga talunan. WAHAHHA",,Reply (comment),09/01/22 10:43,,Emotional,1,0,0,,,,"Jesse Robredo's death was not due to sabotage. Additionally, there is no evidence that Leni has ordered the supposed killing of her husband.

Source: https://www.rappler.com/newsbreak/fact-check/jesse-robredo-death-sabotage/",No location indicated,,,
14-28,31/03/23 14:14:12,https://twitter.com/YDioxide/status/1561230479759532033,14,"Peroz, JC Mae","RBRD

",Robredo's personal life,leni pinatay asawa,@YDioxide,YnX,"NUmetal/Punkrock/Djent/RapMetal🤘🏻
musician💯",Anonymous,02/19,2112,533,Republic of the Philippines,"Ganyan ka Demonyo si Leni. Pinatay si Jessie para sa kanyang Ambisyon hahahah Angat Buhay pa more. Resibo yan 100% namatay ang asawa pero naka smile. Paka boba talaga",,Reply (comment),21/08/22 13:15,,Emotional,0,1,0,,,,"Jesse Robredo's death was not due to sabotage. Additionally, there is no evidence that Leni has ordered the supposed killing of her husband.

Source: https://www.rappler.com/newsbreak/fact-check/jesse-robredo-death-sabotage/",,,,
14-29,31/03/23 14:14:42,https://twitter.com/Hatingyou1231/status/1524292358518747136,14,"Peroz, JC Mae","RBRD

",Robredo's personal life,leni pinatay asawa,"@Hatingyou1231","Hatingyou123💚💚💚❤️❤️✌️👊",No bio,Anonymous,07/21,280,177,No location,"Paano nga nanalo si Leni?
Ayun pinatay muna ang asawa para bumangon ang pangalan.",,Reply (comment),05/11/22 15:36,,Rational,0,0,0,,,,"Jesse Robredo's death was not due to sabotage. Additionally, there is no evidence that Leni has ordered the supposed killing of her husband.

Source: https://www.rappler.com/newsbreak/fact-check/jesse-robredo-death-sabotage/","No bio, no location",,,
14-30,31/03/23 14:15:29,https://twitter.com/MrOpinyonado/status/1500421359880798209,14,"Peroz, JC Mae","RBRD

",Robredo's personal life,leni pinatay asawa,"@MrOpinyonado
",Mr. Opinyonado,#Suhestyon #Reaksyon #Opinyon,Anonymous,07/19,168,1935,"Angeles City, Central Luzon","#NagaLeaks KAYA SINADYA PINATAY ASAWA NI LENI PARA D KUMANTA SA MGA DRUG LORD

https://twitter.com/i/status/1500421359880798209",,"Text, video",03/06/22 18:41,,Rational,0,0,0,,,,"Jesse Robredo's death was not due to sabotage. There are no news articles, statements, or official cases that prove that Jesse Robredo is linked to drugs.

Sources: https://www.tsek.ph/jesse-robredo-sangkot-sa-ilegal-na-droga-at-sugal/

https://www.rappler.com/newsbreak/fact-check/jesse-robredo-death-sabotage/",,,,
14-31,31/03/23 14:51:09,https://twitter.com/BokyoandGeneral/status/1446232590021758979,14,"Dela Calzada, Zairra Mille","RBRD

",Robredo's personal life,leni jesse robredo asawa,@BokyoandGeneral,Pikon Ako Vlog(PAV),To GOD be All The Glory!!!Stop Chasing Money and Power!!!,Anonymous,03/11,376,39,No location,"Pormal nang inanunsyo ni vice president Leni Robredo,inakusahan ng pandaraya noong 2016 eleksyon,at may kinakaharap na kaso sa PET kaugnay sa 2016 eleksyon at dating asawa ng pinatay ala aksidente sa eroplano na si Jesse Robredo at kaisa-isahang nagsabi ng 40×4=1600.",,"Text, Image",10/08/21 05:54,,Rational,0,0,0,,,,"Jesse Robredo's death was not due to sabotage.

Source:
https://www.rappler.com/newsbreak/fact-check/jesse-robredo-death-sabotage/
",No location indicated,,,
14-32,31/03/23 14:42:42,https://twitter.com/InegMa1307/status/935524376350355458,14,"Dela Calzada, Zairra Mille","RBRD

",Robredo's personal life,leni pinatay asawa,@InegMa1307,abeinegmaDDSninja,la vita e bella (life is beautiful),Identified,03/17,259,652,No location,I therefore conclude pwedeng maging presidente at bise pag pinatay ang asawa... 😂 (cory & leni),,Reply (Comment),28/11/17 23:02,,Rational,2,0,0,,,,"Jesse Robredo's death was not due to sabotage.

Source:
https://www.rappler.com/newsbreak/fact-check/jesse-robredo-death-sabotage/
",No location indicated,,,
14-33,31/03/23 14:43:23,https://twitter.com/rogerabucay/status/1257651467428655109,14,"Dela Calzada, Zairra Mille","RBRD

",Robredo's personal life,"leni pinatay asawa, drug generals",@rogerabucay,Roger Abucay,i'm cute,Identified,06/12,77,0,"Iligan City, Northern Mindanao","Oo nga, manaig ang katotohanan na ang nagpundo ni leni ay ang drug cartel na bayaw nya, kaya pinatay asawa nya si jessie kasi drug generals kalaban nya, yan,,, yan manaig yan, kasi sabi mo manaig ang katutuhan. Huwag kami utoutoin nyo kasi alam namin ang katuthanan.",,Reply (Comment),05/05/20 20:40,,Emotional,0,1,0,,,,"Jesse Robredo's death was not due to sabotage.

Source:
https://www.rappler.com/newsbreak/fact-check/jesse-robredo-death-sabotage/
",,,,
14-34,31/03/23 14:45:41,https://twitter.com/cecille3862/status/842593999974092800,14,"Dela Calzada, Zairra Mille","RBRD

",Robredo's personal life,leni asawa,@cecille3862,Cecille,No bio,Anonymous,01/17,42,8,No location,#LeniPowerGrabber. ..leni sino si paco ojeda na pinatay ninyo dahil sa nadiskurbe niya anomalya ng kapanahon ng asawa mo,,Text,17/03/17 12:30,,Rational,0,0,1,,,,"Anomalies involving Jesse have been cleared

Source: https://www.rappler.com/nation/12219-puno-resigns/",No bio and location,,,
14-35,31/03/23 14:47:26,https://twitter.com/bestofbest23200/status/1498828357890621441,14,"Dela Calzada, Zairra Mille","RBRD

",Robredo's personal life,leni pinatay asawa,@bestofbest23200,BBMSARA UNITEAM,No bio,Anonymous,12/21,537,903,Hong Kong,di oi haha sirang sira si leni sakin simula ng namatay asawa nyan lagi kong naririnig sa tatay ko wala syang pinagka iba kay cory pinatay ang asawa para lang makilala haha lalo na mga aquino na yan si trililing at iba pang kilalang tao,,Reply (Comment),03/02/22 09:11,,Emotional,1,0,0,,,,"Jesse Robredo's death was not due to sabotage.

Source:
https://www.rappler.com/newsbreak/fact-check/jesse-robredo-death-sabotage/
",No bio,,,
